n,VecSize,sim,CompileTime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,MSE
1,1,69,3.9710199926048517,28.276042081415653,5.186233902350068,9.835570817813277,4.185891943052411,0.11413800530135632,1.2447530045424758e-09
1,1,70,3.8671400398015976,27.00319793075323,4.885781090706587,10.32919716089964,4.095789976418018,0.11335196904838085,1.5424969361153777e-06
1,1,71,2.4064909666776657,28.334213886409998,6.251089042052627,11.555102188140154,4.462372045964003,0.10329508222639561,5.0906276677285415e-08
1,1,72,3.949234029278159,29.32131802663207,5.24872587993741,9.884635219350457,4.525342956185341,0.10664993897080421,1.56026526681925e-07
1,1,73,3.421768080443144,29.134752927348018,5.247630178928375,9.806287009268999,4.051744006574154,0.10680500417947769,2.3390873251352567e-08
1,1,74,3.794711781665683,27.936858125030994,4.937313962727785,10.076715145260096,4.727882100269198,0.10565505363047123,7.06938950886952e-08
1,1,75,3.855158109217882,26.422082912176847,5.021701101213694,9.573153918609023,4.240365931764245,0.1226360909640789,2.6405789513592545e-08
1,1,76,2.5467739906162024,26.509485905990005,5.29613415710628,9.714394807815552,5.710207857191563,0.14463206753134727,3.570074565134259e-08
1,1,77,3.809385932981968,26.610902044922113,4.6488509979099035,9.764241985976696,4.251289879903197,0.10367901995778084,1.5354149264819138e-08
1,1,78,3.777284873649478,27.53653610125184,5.522062070667744,9.535860968753695,4.343630978837609,0.10898802429437637,7.264265164820913e-07
1,1,79,3.7954989820718765,26.549563044682145,4.722126992419362,9.701501810923219,4.340920830145478,0.11484394781291485,9.246584083273211e-10
1,1,80,3.792284056544304,26.876708026975393,4.708077991381288,9.659620001912117,4.267154959961772,0.10934681631624699,1.0323714039879519e-10
1,1,81,3.1820309814065695,25.407831883057952,4.996465053409338,9.500166866928339,4.123640945181251,0.0990771222859621,1.7424770763870692e-07
1,1,82,3.788190893828869,26.922605000436306,4.68061282299459,9.54248197376728,4.234334919601679,0.11362391524016857,1.8865962454073342e-08
1,1,83,3.774337936192751,26.611923007294536,4.890264943242073,9.72964009270072,4.166357917711139,0.10644993744790554,1.0548471613905137e-07
1,1,84,3.8103521801531315,27.46697305701673,4.883748013526201,9.541430044919252,4.261621972545981,0.11553987860679626,1.39743557138408e-06
1,1,85,3.888334846124053,26.77170396782458,4.726712824776769,9.951685089617968,4.924732958897948,0.13708393089473248,7.993940173758481e-10
1,1,86,2.8420318849384785,28.82071491330862,5.184425972402096,9.544848930090666,4.383750958368182,0.10545202530920506,5.21235774123802e-07
1,1,87,3.9002590347081423,26.746789924800396,4.955906188115478,9.935274021700025,4.639680031687021,0.12248777784407139,1.0744004138583702e-08
1,1,88,3.885547164827585,28.04046799428761,5.548011977225542,9.978213114663959,4.246559925377369,0.106483930721879,7.081547159723727e-08
1,1,89,3.7950430996716022,29.114566976204515,5.454494850710034,10.0747209507972,4.509463906288147,0.11991290375590324,1.9709534222488066e-07
1,1,90,3.4689379390329123,29.159776167944074,5.398513982072473,9.87211405299604,4.3671780731529,0.10895216837525368,2.431149963928865e-07
1,1,91,3.8175401277840137,26.031926041468978,4.9642520025372505,10.036699008196592,4.508387064561248,0.14541205018758774,2.545479802730319e-07
1,1,92,3.82559304125607,27.06143702380359,4.769677994772792,11.824616929516196,5.063100950792432,0.11571496725082397,1.1963462640219617e-07
1,1,93,3.8448250852525234,28.602241072803736,5.7946189772337675,9.896114002913237,4.505055025219917,0.10930211283266544,1.0534607660878699e-06
1,1,94,3.799933008849621,29.705738183110952,5.172903183847666,10.001905960962176,4.262450849637389,0.10417797602713108,3.1943040908782324e-10
1,1,95,3.683764021843672,26.910628890618682,4.97984909452498,9.579777950420976,4.563183058053255,0.10587600991129875,3.1125561374641e-09
1,1,96,3.8133200723677874,28.362049954012036,5.847441963851452,10.988485999405384,5.492289084941149,0.14338688924908638,4.123421696225465e-07
1,1,97,3.812141017988324,30.302934115752578,5.332145839929581,9.840840939432383,4.245342221111059,0.11991104111075401,5.0383795040494297e-08
1,1,98,3.783412976190448,26.37699292972684,4.888208117336035,10.048866039142013,4.263679031282663,0.101899029687047,6.058444969813375e-08
1,1,99,2.7575460262596607,28.568689012899995,5.296542076393962,9.756193961948156,4.139760043472052,0.10053394362330437,1.0239285169405034e-08
1,2,0,3.369501791894436,30.02973715774715,10.431948117911816,9.345609927549958,4.625851986929774,0.12223678641021252,1.002761849895077e-07
